text;emotion
""Some of these are adaptations like Oppenheimer, so not really original. But you still right tho, there are good original movies and unique ones like Beau is afraid."";-1
I've come to the conclusion that if it's a film about something most don't know about so they are learning about the tragedy and it makes you feel for the victims it's good but Oppenheimer looks like it makes you feel for bomb maker atleast in the trailers which feels gross to me;-1
""Oh, you guys. Barbie was the far superior of the three films. And Iâ€™ve seen all of them. I didnâ€™t like my straw because it was kind of masturbatory. And I thought Oppenheimer was two or three really good films and someone needed to edit it."";-1
""Respectfully I just don't think it will work, feels like the movie would be making excuses for what he did, i just don't want that, the Oppenheimer point was good tho."";1
I was watching Oppenheimer and everything was all good until my dad walked in stayed there for like a min and then the sex scene came on like really bro;1
""And even when there's a movie that breaks the mold, and is actually good. It's dismissed for either failing at the box office, being """"risky"""", or doesn't win the so called """"Academy award"""". So far we've had great movies like Oppenheimer, Barbie, Godzilla Minus One, Scream 6, etc."";-1
""ranked all the 2023 releases i watched this year. really didnâ€™t like evil dead rise and mario was purely â€œpretty good!â€ but the rest were all bangers so they were tough to rank. oppenheimer was always #1 though, movieâ€™s a certified all-timer"";-1
People like this drive me insane. Good originals Iâ€™ve seen that were released this year:  Air Polite Society Asteroid City Joy Ride Barbie Oppenheimer Theater Camp Killers of the Flower Moon The Holdovers Saltburn Poor Things Maestro  And there are many that I havenâ€™t seen.;-1
""I donâ€™t think I could list a handful of movies that I like more - itâ€™s that good. Just a TON of supporting cast members who are acting at their absolute peak.   If Oppenheimer doesnâ€™t win best picture at the Oscars, itâ€™s a travesty."";1
""take this year alone. Did you find Oppenheimer to be a likable dude? Cillian Murphy did an incredible job in portraying an extremely boring genius that showed no personality or character ever, and he really did a good job cause that's what the real man looks like in interviews"";1
girl not they sayin Barbie isnâ€™t as good as Oppenheimer like that was NAWT the point??;-1
""- I don't wanna spoil it but what Loki does in the last episode man... - Oppenheimer was not a movie i thought i would like but i did very much, amazing sound design and amazingly directed.  - Sonic Prime S2 wins because it is a good Sonic related piece of media and i love Sonic"";-1
""FYI - Since this tradition began in 2018, heâ€™s always included the actual or expected Best Picture Oscar winner. Good news for Oppenheimer, unless it ends up like Roma or Power of the Dog.  Precedent indicates that only 38% (5) of these films will be nominated for Oscars at all."";-1
""A thousand and 1, Oppenheimer, anatomy of a fall and blackberry are the only good ones. But I actually donâ€™t hate this list. Feels like an actual personâ€™s taste rather than something put together by a committee"";-1
""books: been reading the first few books in the earthsea series, that shit slaps movies: Oppenheimer was so good, like genuinely incredible other shit: the bear is so so so so good"";1
""I was going to be meaner, but I personally feel like this year has been an incredibly good year for original films critically at least.  Films like Oppenheimer and Killers Of The Flower Moon have gotten a lot of praise and attention, and that's just naming two."";1
""Even ignoring elons reply the other guy is talking like we didnâ€™t just get Barbie Oppenheimer and Godzilla minus 1 which were all great original films, this idea that thereâ€™s no good original films being released is dumb"";-1
Oppenheimer should be runaway favorite.  Itâ€™s an amazing cinematic experience.  Barbie was good too.   Killers of the Flower Moon just too damn long to even start.  Havenâ€™t seen Maestro but it looks like a typical auto biography - watered down;1
I want to see Oppenheimer.Looked like a good with the reviews and previews I have seen;1
""It's still good tbh. I can only name 5-6 films like Oppenheimer, The Killer, Past Lives, Sleep & 2 Indian films. That's it ğŸ¤­"";-1
Why'd you all lie and tell me Oppenheimer was a good movie?! Dogshit pacing. No breath. Just pingpongs from line to line. No time for anyone to have a single thought or feeling. Felt like I was watching a 3 hour trailer. Quoting Krishna while deep in a girl's guts was too much ğŸ˜­;0
The dog has been wanting to see Oppenheimer for a while so tonight seems like a good night.;-1
It's like he's trying to undo all the good work of Oppenheimer with a single sentence.;-1
Why the fuck are people using Godzilla to shit on Openheimer? Theyâ€™re both very different movies and are both really fucking good. Like. Genuinely if you use Godzilla to shit on Oppenheimer STFU.;1
I donâ€™t like Oppenheimer thus I donâ€™t like Good Cinema ğŸ˜³â€¦this community and its gatekeeping is on another level. #Cinema #yikes #Movies;-1
""Just because it didnt happen doesn't mean it couldnt.  Youre acting like this Oppenheimer wasn't a 9 figure budget.  Same with barbie, which is also the first """"real"""" movie made off a beloved toy IP.  The fact that they were also *GOOD* is the reason they did well."";-1
""#208 Godzilla Minus One (9/10)  Godzilla movies can be incredible actually from its post-WW2 Japan themes to Godzilla's on screen presence, everything just blended well together.   Also the soundtrack was incredible.  I think I like it more than Oppenheimer, it was THAT good."";-1
yo u can like pikmin 4 more. thatâ€™s reasonable and healthy and good. but itâ€™s not better than oppenheimer letâ€™s be real here;-1
That Jackson Hayes bricked free throws sounded like Oppenheimer good Jesus;-1
""I sobbed like a BABY. godzilla was so so SO GOOD. zero criticism, no notes, 10000/10  i loved oppenheimer too but those memes that are like the son beats the father??? ABSOLUTELY TRUE. UNIRONICALLY MY FAV MOVIE THIS YEAR. EVEN OVER ATSV.   everyone needs to watch G-1. phenomenal.""1
""My gf got me fancy athleisure pants bc i work from home, a massage gun,  the oppenheimer screenplay AND a waterpik  My dad got me a household tool kit, a new air compressor for my cars tires and a giants hat   Good haul i feel like an adult with all this practical shit lol"";-1
""Chinese are free to watch Western movies, they just don't want to. Except when the movie is good-- like Oppenheimer, which did make significant money in China.  Chinese movies are pretty good these days, but they're made for Chinese audiences. You wouldn't be able to understand them, even with subtitles."";-1
""The frustrating thing about 3+ hour movies is that even if they're really good, I can never find the time to watch them again. I wanna watch Oppenheimer and The Batman again but, like, when"";-1
""The power of meme advertising. Like Oppenheimer was good, and as a fan of historical dramas, I loved it. But it's definitely not billion-dollars good. It's not even top 3 Nolan films, IMO. It rode that Barbenheimer wave all the way to the bank."";1
""I watched Oppenheimer and my life felt like it got better, I watched KOFM and I was like yeah Scorsese is good but that is it.  The score on Oppenheimer is enough seğŸ˜‚ğŸ˜‚"";-1
""Oppenheimer, 1945.   Iâ€™m here thinking, use â€˜em. Look at us without them. Look how much hate we hold. Fuck us. We deserve nothing. Yâ€™all wearing rose coloured glasses finding one good thing and acting like it trumps this bs. No. We suck. Deal. #isaidwhatisaid #tellyourselflies"";-1
I know itâ€™s been said to death but EVERY SINGLE line in Oppenheimer is the best line reading ever itâ€™s insane itâ€™s genuinely baffling and thatâ€™s not even like the best part of the movie which is even more insane but god damn I wish I could make something that cool and good;1
""many months late, i finished oppenheimer and barbie  oppenheimer was good, barbie was actually like right up my alley  my mom did not like barbie at all ROFLLLlL"";1
LOVED Maestro and yet canâ€™t find a good reason from those who didnâ€™t like it. Itâ€™s a film not an article about him that one needs to leave theatre knowing about his life. Films are informative pieces.  Itâ€™s rather unfair that itâ€™s released in a year with Oppenheimer. Before...;-1
""Oppenheimer was good, but it was so overly dramatic, and I wanted tk die every time someone said some shit like, """"Oppie fucks the space  between the atoms"""" or whatever."";1
""Roger that.  More synergy on film releases will definitely help with marketing.    Hopefully AMC / WB can collaborate on a release cadence like that in the future ... Barbie/Oppenheimer, while more-so organic, is a good example of cost effective marketing."";-1
Oppenheimer  My mother got bored last week and we watched the last hour of this movie just now if that gives you an idea  Some good scenes are in it along with some very dry spells where Iâ€™m just squinting for shots of actors I like in the background;-1
Heâ€™s not a threat he was good but cillian performance in Oppenheimer is iconic like Brando in the godfather or Hopkins in sotl;-1
""Pretty good pretty good.   For context for anyone reading, @JGODYT and I went to see Oppenheimer when it came out. But we got evacuated with like 15 minutes left and I never went back to see the ending"";1
""oppenheimer is good but when hartnett says â€œyouâ€™re not just self-important, youâ€™re actually importantâ€  we audibly started laughing at a massive Imax showing, and there were like 7 other groups in different corners of the theater who had the same reactionâ€”shout out yall."";1
Cillian should win. He sounded exactly like Oppenheimer. Looks almost like him too. I mean he portrayed the guilt sooooooo good;-1
""7. oppenheimer  people have talked this movie to death i have no new insight to share about this one, itâ€™s just good af idk. monster ensemble cast and on the technical side just on a whole other level, not to sound too much like a nerd"";-1
#PoorThings is every bit as good (and weird) as youâ€™ve heard. Emma Stone continues to prove she is the best young actress of this generation. Mark Ruffallo is a god damned riot. The whole film looks like a living/moving storybook. Itâ€™s up there with Oppenheimer for best of year;-1
""If you expect it to be a biopic like Oppenheimer, youâ€™ll be disappointed. I found it to be an interesting character study about the relationship between to people with two really good performances"";-1
""No bro,it's a good movie on unique topic which we had no idea about,  one can't compare 3 idiots pk with dunki like how inception, interstellar is better than Oppenheimer or tenet. It's crossed all drama genre movie released after pandemic rakshabandhan,kkbkkj,rrkpk,tjmm,spkk etc"";1
""bradley was good in maestro, it's a showy role so it's like. yeah he wants it. i don't think he's getting it. cillian has ALWAYS been good and oppenheimer is his least interesting role ever. sorry about it. and then paul giamatti absolutely crushes it in the holdovers. team paul!"";-1
""Agreed and with all due respect for streaming services during the pandemic, it was time Cinemas came back. I know for a fact, movies like Oppenheimer werenâ€™t made for streaming services. Itâ€™s just the overall experience, even movies that werenâ€™t good are still enjoyed in theatres"";-1
To some extent I do this. I have favorites that I can admit aren't as good as movies I wouldn't count as a favorite. Like just off the top I'll say Scott Pilgrim is a favorite. Oppenheimer is better. Oppenheimer wouldn't make a favorite movies list of mine.;-1
cillianâ€™s performance is so good in part bc it doesnâ€™t feel like heâ€™s playing a caricature of oppenheimer but a character of the films own making;-1
""Such a relief. After Hollywood big bangs like Oppenheimer, Napoleon, Maestro with every conventional big $ available good to see â€œFallen Leavesâ€ on la condition humaine today. Exposes state of working class without Ken Loach preaching, filming by numbers. Terrific film"";-1
""ok ive never watched any of the christmas romcoms on netflix... is there any good one in there? like non-cringy, non-sibling chemistry, halfway decent cute story? pls give me recs or i'll end up rewatching oppenheimer on christmas ğŸ˜­"";-1
The path from Inception to Interstellar to Tenet is very clear. Just like the path from Dunkirk to Oppenheimer. I much prefer Dunkirk to Oppenheimer.  He also makes good Batman movies which I enjoy.;-1
""I marvel at how actor can interchange between roles , Iâ€™m watching Florence Pugh in this movie â€œA Good Personâ€ and Iâ€™m like this canâ€™t be the same woman I saw in Oppenheimer and Black Widow , like wow"";-1
""I like Oppenheimer as much as the next guy, but there are good superhero movies and bad superhero movies like with any genre, theyâ€™re not competing for space with, of all things, fucking biopics, and a few flops doesnâ€™t mean the genre is dead!"";-1
""Personally for me I enjoyed Oppenheimer more than KOTFM. Oppenheimer was 3hrs but it didn't feel like it was. Barbie I deleted it after I saw some scenes, didn't bother."";1
""Nah I'm officially calling for a ban on women talking about pop culture. In a year where we had Oppenheimer, KOTFM, Godzilla -1, Spiderverse, Barbie (I didn't like it but it was still good), TOTK, Baldur's Gate 3, OPLA and tons of other GOATED stuff, they still call it the worst."";-1
I like how Nolan just made an action movie out of Oppenheimer ğŸ¤£ğŸ¤£ğŸ¤£ good stuff;1
""I rewatched it before Oppenheimer came out, it's really good. I like how much detail there is. It's a thoughtfully made movie that is very thrilling IMO"";1
